acttime	st	d	t	t0	hcomm	hfloor	scomm	sfloor	prespart	demhsmaj	demsnmaj	orderent	stafcder	prevgenx	lethal	deathrt1	hosp01	hospdisc	hhosleng	acutediz	orphdum	mandiz01	femdiz01	peddiz01	natreg	natregsq	wpnoavg3	vandavg3	condavg3	discode
27.48493	1	1	27.484932	0	-0.256	-0.077	-0.357	-0.108	0	1	1	3	1368	54.32	0	0	1	9666	3.6	1	0	0	0	0	0	1	2.25	0	0	4100
6.969863	1	1	6.9698629	0	-0.146	-0.082	-0.357	-0.092	1	1	1	2	1550	20.6	0	0	1	24692	2.3	1	0	0	0	0	0	1	7.75	3	0.3333333	4300
21.13973	1	1	21.139727	0	0.1875	0.159	0.049	-0.005	1	0	0	2	1608	54.32	0	0	1	9666	3.6	1	0	0	0	0	0	1	0.25	0	0	4050
10.98082	1	1	10.980822	0	0.1875	0.159	0.049	-0.005	1	0	0	1	1608	54.32	0	0	1	9666	3.6	1	0	0	0	0	0	1	0.25	0	0	4050
14.07123	1	1	14.071233	0	0.2135	0.154	-0.0105	0.114	1	0	0	6	1673	9.19	1	0	0	0	0	0	0	0	0	0	13	196	21.75	1	0	4400
12	1	1	12	0	0.1875	0.159	0.049	-0.005	1	0	0	5	1608	9.19	1	0	0	0	0	0	0	0	0	0	13	196	12.25	0.25	0	4400
11.60548	1	1	11.605479	0	-0.146	-0.082	-0.357	-0.092	1	1	1	1	1550	0.6	1	0.0153	1	37832	2.7	1	0	0	0	0	0	1	13.5	0.5	0	10620
31.16712	1	1	31.167124	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	1	1121	140	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0.3333333	4200
13.11781	1	1	13.117808	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	2	1029	76.11	0	0	0	0	0	0	1	0	0	0	0	1	3.75	0.25	0	8100
5.819178	1	1	5.8191781	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	1	1121	0.1	0	0	1	181077	3.4	0	1	0	0	0	10	121	0	0	0	3210
12.29589	1	1	12.295891	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	4	1237	0.04	0	0	0	0	0	1	0	0	0	0	0	1	2.25	0	0	4140
13.47945	1	1	13.479452	0	-0.256	-0.077	-0.357	-0.108	0	1	1	4	1423	100.85	0	0	0	0	0	1	0	0	0	0	29	900	0.5	0	4.333333	2200
31.06849	1	1	31.068493	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	23	996	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	6	0	2	6400
14.26849	1	1	14.268493	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	3	1121	9.19	1	0	0	0	0	0	0	0	0	0	13	196	15.5	0.25	0	4400
62.63014	1	0	62.630138	0	0.1875	0.159	0.049	-0.005	1	0	0	1	1608	20.6	0	0	1	9666	3.6	1	0	0	0	0	0	1	0	0	0	4600
18.93699	1	1	18.936987	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	6	1055	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	12.5	0.5	1	6400
13.15069	1	1	13.150685	0	-0.256	-0.077	-0.357	-0.108	0	1	1	9	1423	81.82	1	2.78	1	491836	9.28	0	0	0	0	0	79	6400	225.75	13	6.333333	5300
22.09315	1	1	22.093151	0	-0.147	-0.082	-0.357	-0.092	1	1	1	39	1414	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	54.5	0.5	0.6666667	5500
40.53699	1	0	40.536987	0	0.1875	0.159	0.049	-0.005	1	0	0	3	1608	14.76	1	0.0884	1	116868	9.53	0	0	0	0	0	108	11881	168.5	13.75	7.666667	10100
12	1	1	12	0	0.1875	0.159	0.049	-0.005	1	0	0	11	1608	192	1	0.0995	0	0	0	0	0	0	0	0	3	16	17.5	2.5	0.3333333	5400
16.76712	1	1	16.767124	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	4	1163	0.11	1	0.0219	1	120817	7.96	0	1	0	0	0	56	3249	124	8.5	1.666667	3500
0.5917808	1	1	0.59178084	0	-0.147	-0.082	-0.357	-0.092	1	1	1	1	1414	0.6	1	0.0153	1	37832	2.7	0	0	0	0	0	3	16	32.25	1.25	0.3333333	10600
38.99178	1	1	38.991779	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	7	996	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	5	0	0	5200
40.96438	1	1	40.964382	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	2	1043	54.23	1	0.0203	1	599591	3.08	0	0	0	0	0	47	2304	127	2.5	4	2400
3.912329	1	1	3.9123287	0	0.1875	0.159	0.049	-0.005	1	0	0	16	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	324	1.25	11	6100
12	1	1	12	0	0.1875	0.159	0.049	-0.005	1	0	0	1	1608	0.76	0	0	1	8530	3.63	0	0	1	0	0	0	1	2	0	0	8010
13.47945	1	1	13.479452	0	0.2135	0.154	-0.0105	0.114	1	0	0	53	1673	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	45.5	3	0.6666667	5500
15.94521	1	1	15.945206	0	0.2135	0.154	-0.0105	0.114	1	0	0	5	1708	128.48	1	0.0027	0	0	0	0	0	0	0	0	188	35721	131	8.25	4	1100
29.81918	1	1	29.819178	0	-0.256	-0.077	-0.357	-0.108	0	1	1	35	1368	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	50.25	0.25	3	5500
29.81918	1	1	29.819178	0	-0.256	-0.077	-0.357	-0.108	0	1	1	34	1368	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	50.25	0.25	3	5500
26.99178	1	1	26.991781	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	8	1237	81.82	1	2.78	1	491836	9.28	0	0	0	0	0	79	6400	225.25	8.5	8	5300
52.04383	1	1	52.043835	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	13	1121	32.63	1	0.1652	1	457587	3.25	0	1	0	0	0	2	9	5	0	0	5200
29.98356	1	1	29.983562	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	28	1121	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	44.5	0.25	3.666667	5500
8.087671	1	1	8.0876713	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	2	1121	0.15	1	0.0146	1	20777	7.1	0	0	0	1	0	9	100	5	0.25	0	3700
32.97534	1	1	32.975342	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	6	1163	192	1	0.0995	0	0	0	0	0	0	0	0	3	16	25.75	2.25	3.333333	5400
20.81096	1	1	20.810959	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	12	1237	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	15.5	0	0.6666667	6400
21.53425	1	1	21.534246	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	6	1237	0.11	1	0.0219	1	120817	7.96	0	1	0	0	0	56	3249	155.5	10	2	3500
6.246575	1	1	6.2465754	0	-0.256	-0.077	-0.357	-0.108	0	1	1	5	1368	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	309.75	0.75	42.66667	6100
5.260274	1	1	5.2602739	0	-0.256	-0.077	-0.357	-0.108	0	1	1	4	1423	0.15	1	0.0146	1	20777	7.1	0	0	0	1	0	9	100	20.25	2	0.3333333	3700
42.60822	1	1	42.608219	0	-0.256	-0.077	-0.357	-0.108	0	1	1	19	1423	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	20	0	1.333333	6400
5.852055	1	1	5.8520546	0	-0.147	-0.082	-0.357	-0.092	1	1	1	10	1414	0.22	1	0.0579	1	123767	9.06	1	1	0	0	0	24	625	353.25	1.75	24	6100
3.517808	1	0	3.5178082	0	0.1875	0.159	0.049	-0.005	1	0	0	16	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	324	1.25	11	6100
11.63836	1	1	11.638356	0	0.2135	0.154	-0.0105	0.114	1	0	0	3	1708	15.45	1	0.129	1	983538	5.19	1	0	0	0	0	1	4	363.25	4.5	0.3333333	6640
40.76712	1	1	40.767124	0	-0.228	-0.075	-0.407	-0.125	1	1	1	22	1119	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	5	0	2	6400
18.93699	1	1	18.936987	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	2	996	0.04	1	0.0002	1	3976	4.6	0	0	1	0	0	1	4	2.25	0	0	3900
45.50137	1	1	45.501369	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	7	996	30	0	0	0	0	0	0	0	0	0	0	18	361	68.25	0.25	0	10200
35.37534	1	1	35.375343	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	8	1029	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	3.5	0	0	5200
12.69041	1	1	12.690411	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	3	1053	0.04	1	0.0002	1	3976	4.6	0	1	1	0	0	1	4	2	0	0	3900
122.4986	1	1	122.49863	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	2	996	128.48	1	0.0027	0	0	0	0	0	0	0	0	188	35721	119.75	6.5	7	1100
46.55342	1	1	46.553425	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	4	1163	100	0	0	0	0	0	0	0	0	0	0	1	4	22.5	0.5	0	10700
18.73973	1	1	18.739725	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	1	1237	39	1	0.0017	1	220647	3.33	1	0	0	0	0	3	16	25.5	0	1.333333	6500
67.29863	1	1	67.29863	0	-0.256	-0.077	-0.357	-0.108	0	1	1	5	1368	93.91	0	0	1	3879	1.9	1	0	0	0	0	29	900	1.75	0	6	2100
70.78356	1	1	70.783562	0	-0.228	-0.075	-0.407	-0.125	1	1	1	2	1119	5	0	0	0	0	0	0	1	0	0	0	1	4	0.5	0	0	80600
55.29863	1	1	55.29863	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	1	1043	128.48	1	0.0027	0	0	0	0	0	0	0	0	188	35721	123	7.5	7	1100
22.19178	1	0	22.19178	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	3	1055	76.11	0	0	0	0	0	0	0	0	0	0	0	1	3	0.25	0	8100
35.63836	1	1	35.638355	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	29	1121	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	44.5	0.25	3.666667	5500
6.443836	1	1	6.4438357	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	1	1163	20	0	0	1	18429	8.8	0	0	0	0	0	12	169	1.25	0	0	10800
11.86849	1	1	11.868493	0	0.1875	0.159	0.049	-0.005	1	0	0	46	1608	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	45.75	0.5	0.3333333	5500
23.73699	1	1	23.736986	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	6	1062	81.82	1	2.78	1	491836	9.28	0	0	0	0	0	79	6400	134.25	12.5	6.666667	5300
3.221918	1	1	3.2219179	0	0.2135	0.154	-0.0105	0.114	1	0	0	20	1708	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	323	2	11	6100
33.6	1	1	33.599998	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	12	1053	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	5	0	0	5200
69.99452	1	1	69.994522	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	4	1053	46.33	1	0.0203	1	599591	3.08	0	0	0	0	1	47	2304	44.5	1.75	2.333333	2300
82.15891	1	1	82.158905	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	1	1055	448.55	1	0.0027	1	3082	5.53	1	0	0	0	0	3	16	186	6	0.3333333	6620
82.15891	1	1	82.158905	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	2	1055	448.55	1	0.0027	1	3082	5.53	1	0	0	0	0	3	16	186	6	0.3333333	6620
8.515068	1	1	8.5150681	0	0.2135	0.154	-0.0105	0.114	1	0	0	4	1708	14.76	1	0.0884	1	116868	9.53	0	0	0	0	0	108	11881	200.25	12	5.666667	10100
114.9699	1	1	114.96986	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	9	1029	192	1	0.0995	0	0	0	0	1	0	0	0	3	16	9.5	0.75	0	5400
21.96164	1	1	21.961643	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	1	1163	1.09	1	0.194	1	120834	1.95	0	1	0	1	0	49	2500	66.75	14.75	2.666667	3100
8.416438	1	1	8.4164381	0	-0.147	-0.082	-0.357	-0.092	1	1	1	2	1414	0.02	1	0.01	1	4100	28.9	0	0	0	0	0	4	25	22.5	6	0.6666667	9200
8.416438	1	1	8.4164381	0	-0.147	-0.082	-0.357	-0.092	1	1	1	1	1414	0.02	1	0.01	1	4100	28.9	0	0	0	0	0	4	25	22.5	6	0.6666667	9200
2.893151	1	0	2.8931506	0	0.2135	0.154	-0.0105	0.114	1	0	0	9	1796	46.33	1	0.0203	1	599591	3.08	0	0	0	0	1	47	2304	165.5	9	2.666667	2300
25.90685	1	1	25.906849	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	1	1043	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	7	0	2	6400
51.28767	1	1	51.28767	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	1	1029	0.16	1	0.074	1	86252	6.4	0	1	0	0	0	2	9	9.25	0.5	2	9100
14.76164	1	1	14.761643	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	2	1163	1.43	0	0	1	181077	3.4	0	0	0	0	0	10	121	4.25	0	0	3230
25.54521	1	1	25.545206	0	-0.256	-0.077	-0.357	-0.108	0	1	1	5	1368	46.33	1	0.0203	1	599591	3.08	0	0	0	0	1	47	2304	73	3	1.333333	2300
18.70685	1	1	18.70685	0	-0.146	-0.082	-0.357	-0.092	1	1	1	44	1550	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	48.5	0.25	0.3333333	5500
4.372603	1	1	4.3726029	0	0.1875	0.159	0.049	-0.005	1	0	0	11	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	344.25	1.5	15	6100
4.372603	1	1	4.3726029	0	0.1875	0.159	0.049	-0.005	1	0	0	12	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	344.25	1.5	15	6100
11.93425	1	1	11.934247	0	0.1875	0.159	0.049	-0.005	1	0	0	20	1608	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	32.75	0.75	2.333333	6400
5.786301	1	1	5.7863011	0	0.2135	0.154	-0.0105	0.114	1	0	0	21	1708	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	323	2	11	6100
5.950685	1	1	5.950685	0	0.2135	0.154	-0.0105	0.114	1	0	0	22	1708	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	323	2	11	6100
8.975343	1	1	8.9753428	0	0.2135	0.154	-0.0105	0.114	1	0	0	3	1708	448.55	1	0.0027	1	3082	5.53	1	0	0	0	0	3	16	238	23.5	0.3333333	6620
8.515068	1	0	8.5150681	0	0.2135	0.154	-0.0105	0.114	1	0	0	23	1796	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	324.5	2.75	11	6100
8.745206	1	1	8.7452059	0	0.1875	0.159	0.049	-0.005	1	0	0	5	1608	0.04	0	0	0	0	0	1	0	0	0	0	0	1	1.5	0	0	4140
14.07123	1	0	14.071233	0	0.2135	0.154	-0.0105	0.114	1	0	0	23	1796	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	324.5	2.75	11	6100
26.69589	1	1	26.69589	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	27	1121	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	44.5	0.25	3.666667	5500
26.69589	1	1	26.69589	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	27	1121	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	44.5	0.25	3.666667	5500
21.99452	1	0	21.99452	0	-0.256	-0.077	-0.357	-0.108	0	1	1	2	1423	14.76	1	0.0884	1	116868	9.53	0	0	0	0	0	108	11881	128.25	11	14	10100
30.47671	1	1	30.476713	0	-0.146	-0.082	-0.357	-0.092	1	1	1	6	1550	1.3	1	0.15	1	134882	3.04	0	0	1	0	0	9	100	56.75	9	0.6666667	3800
11.83562	1	1	11.835616	0	0.1875	0.159	0.049	-0.005	1	0	0	4	1608	93.91	0	0	1	3879	1.9	1	0	0	0	0	29	900	2.5	0	4.333333	2100
23.4411	1	1	23.441095	0	0.1875	0.159	0.049	-0.005	1	0	0	6	1608	1.43	0	0	1	181077	3.4	0	0	0	0	0	10	121	5.5	0	0	3230
40.10959	1	0	40.109589	0	0.1875	0.159	0.049	-0.005	1	0	0	3	1608	37.47	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5050
6.049315	1	1	6.049315	0	0.2135	0.154	-0.0105	0.114	1	0	0	9	1708	15	1	0.0077	0	0	0	0	0	0	0	0	9	100	1	0	1	1300
4.569863	1	1	4.5698628	0	0.2135	0.154	-0.0105	0.114	1	0	0	6	1708	0.04	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4140
23.24384	1	1	23.243835	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	3	1029	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	10	0	2	6400
23.24384	1	1	23.243835	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	3	1029	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	10	0	2	6400
28.53699	1	1	28.536985	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	4	1053	1.3	1	0.15	1	134882	3.04	0	0	1	0	0	9	100	11.25	3	0	3800
10.84931	1	1	10.849315	0	-0.228	-0.075	-0.407	-0.125	1	1	1	1	1119	11.34	0	0	0	0	0	1	0	0	1	0	0	1	0.5	0	0	6840
26.69589	1	0	26.69589	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	1	1029	0.04	1	0.02	1	15549	10.2	0	0	0	0	0	6	49	13.5	2.75	2	8400
46.12603	1	1	46.126026	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	1	1062	93.91	0	0	1	3879	1.9	1	0	0	0	0	29	900	1.25	0	7.333333	2100
19.33151	1	1	19.331507	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	3	1055	11.34	0	0	0	0	0	1	0	0	1	0	0	1	2.5	0	0	6840
36.23014	1	1	36.230137	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	3	1053	27.64	0	0	1	395755	4.59	1	0	0	0	0	0	1	6.25	0	1.666667	6800
7.528767	1	1	7.5287671	0	-0.2265	-0.055	-0.3615	-0.092	0	1	1	1	1163	0.48	1	0.0443	1	85695	10.4	0	0	0	0	0	2	9	24.25	6.5	0	3300
13.90685	1	1	13.906849	0	-0.256	-0.077	-0.357	-0.108	0	1	1	7	1368	0.11	1	0.0219	1	120817	7.96	0	0	0	0	0	56	3249	154.5	11	1	3500
25.57808	1	1	25.578083	0	-0.256	-0.077	-0.357	-0.108	0	1	1	4	1368	54.32	0	0	1	9666	3.6	1	0	0	0	0	0	1	2.25	0	0	4100
30.11507	1	0	30.115068	0	-0.256	-0.077	-0.357	-0.108	0	1	1	36	1368	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	50.25	0.25	3	5500
2.564384	1	0	2.5643835	0	0.2135	0.154	-0.0105	0.114	1	0	0	7	1673	1.3	1	0.15	1	134882	3.04	0	0	1	0	0	9	100	122	13.25	0.3333333	3800
18.01644	1	0	18.016438	0	0.2135	0.154	-0.0105	0.114	1	0	0	1	1673	3.81	1	0.5955	1	572789	6.7	1	0	0	0	0	54	3025	325.25	3.75	3.666667	5580
8.284931	1	1	8.2849312	0	0.2135	0.154	-0.0105	0.114	1	0	0	1	1708	0.06	1	0.0051	1	833	10.6	0	1	0	0	0	3	16	0	0.25	0	3940
6.213699	1	1	6.2136989	0	0.2135	0.154	-0.0105	0.114	1	0	0	1	1796	0	1	0.0027	0	0	0	0	1	0	0	0	13	196	0	0	0	3830
9.041096	1	0	9.0410957	0	0.2135	0.154	-0.0105	0.114	1	0	0	9	1796	0.11	1	0.0219	1	120817	7.96	0	0	0	0	0	56	3249	192.75	5.5	0.6666667	3500
73.11781	1	1	73.117805	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	10	1043	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	3.5	0	0	5200
18.90411	1	1	18.90411	0	-0.146	-0.082	-0.357	-0.092	1	1	1	45	1550	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	48.5	0.25	0.3333333	5500
43.00274	1	1	43.002739	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	2	1029	0.11	1	0.0219	1	120817	7.96	0	1	0	0	0	56	3249	120.25	9.5	0	3500
34.06027	1	1	34.060272	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	3	1055	102.73	1	0.302	1	370015	8.25	1	0	0	0	0	1	4	8.75	0	0	6720
46.29041	1	1	46.290409	0	-0.1815	-0.0095	-0.0805	-0.009	0	1	0	1	996	3.1	1	0.1198	1	181077	3.4	0	0	0	0	0	10	121	39.75	2	1	3200
51.51781	1	1	51.517807	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	21	1043	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	51.25	0.5	2	5500
52.96438	1	1	52.964382	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	24	1062	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	55.5	0.75	3.666667	5500
23.80274	1	1	23.80274	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	11	1121	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	5	0	0	5200
16.14247	1	1	16.142466	0	-0.265	-0.055	-0.3225	-0.092	0	1	1	13	1237	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	15.5	0	0.6666667	6400
25.67671	1	1	25.676712	0	-0.147	-0.082	-0.357	-0.092	1	1	1	16	1414	445	0	0	1	93293	13.3	1	1	0	0	0	1	4	23	0	1.333333	6400
10.06027	1	1	10.060274	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	9	1121	32.63	1	0.1652	1	457587	3.25	0	0	0	0	0	2	9	5	0	0	5200
21.63288	1	1	21.632877	0	-0.228	-0.075	-0.407	-0.125	1	1	1	7	1119	15	1	0.0077	0	0	0	0	0	0	0	0	9	100	0.5	0	1	1300
27.28767	1	1	27.287672	0	-0.222	-0.058	-0.0805	-0.009	0	1	0	17	1043	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	51.25	0.5	2	5500
18.80548	1	1	18.805479	0	-0.213	-0.058	-0.0805	-0.009	0	1	0	2	1029	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	10	0	2	6400
21.53425	1	1	21.534246	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	4	1062	445	0	0	1	93293	13.3	1	0	0	0	0	1	4	12.75	0.5	1.666667	6400
20.41644	1	1	20.416439	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	20	1055	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	46.75	0.5	4.333333	5500
9.534246	1	1	9.5342464	0	-0.1765	-0.051	-0.0805	-0.009	0	1	0	5	1055	192	1	0.0995	0	0	0	0	0	0	0	0	3	16	12.75	1.75	0.6666667	5400
50.26849	1	1	50.268494	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	7	1053	192	1	0.0995	0	0	0	0	0	0	0	0	3	16	17.25	2.25	1.333333	5400
40.93151	1	1	40.931507	0	-0.179	-0.057	-0.3615	-0.087	0	1	1	30	1121	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	44.5	0.25	3.666667	5500
11.96712	1	1	11.967123	0	-0.147	-0.082	-0.357	-0.092	1	1	1	37	1414	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	54.5	0.5	0.6666667	5500
16.8	1	1	16.799999	0	-0.147	-0.082	-0.357	-0.092	1	1	1	42	1414	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	54.5	0.5	0.6666667	5500
16.33973	1	1	16.339725	0	-0.147	-0.082	-0.357	-0.092	1	1	1	40	1414	115.68	1	0.0995	1	75172	3	0	0	0	0	0	12	169	54.5	0.5	0.6666667	5500
1.380822	1	1	1.3808219	0	0.1875	0.159	0.049	-0.005	1	0	0	15	1608	0.22	1	0.0579	1	123767	9.06	1	0	0	0	0	24	625	324	1.25	11	6100
7.726027	1	1	7.7260275	0	0.1875	0.159	0.049	-0.005	1	0	0	1	1608	0.01	0	0	0	0	0	1	0	0	0	0	0	1	0.5	0	0	7730
11.96712	1	1	11.967123	0	0.2135	0.154	-0.0105	0.114	1	0	0	8	1673	46.33	1	0.0203	1	599591	3.08	0	0	0	0	1	47	2304	110.75	6.25	1.333333	2300
